Crime Type,Hour of the day,Longitude,Latitude,Neighborhood
theft,2,-93.272499,44.97963,DOWNTOWN WEST
theft,21,-93.294434,44.951939,LOWRY HILL EAST
theft,9,-93.274422,44.974621,DOWNTOWN WEST
theft,19,-93.30249,45.038158,WEBBER - CAMDEN
murder,20,-93.2982609,44.97200564,NEAR - NORTH
theft,17,-93.268501,44.928028,BRYANT
theft,0,-93.258911,44.968441,ELLIOT PARK
burglary,7,-93.315262,45.045181,SHINGLE CREEK
theft,15,-93.300133,44.94883,EAST ISLES
burglary,21,-93.222588,44.898998,MORRIS PARK
burglary,14,-93.265587,44.980652,DOWNTOWN WEST
burglary,23,-93.292831,45.030399,WEBBER - CAMDEN
theft,11,-93.239861,45.018459,AUDUBON PARK
burglary,11,-93.29361,45.041519,LIND - BOHANON
theft,8,-93.301857,44.98101,HARRISON
theft,20,-93.223732,44.95528,SEWARD
murder,2,-93.30386259,44.99600506,JORDAN
burglary,21,-93.287086,44.962448,WHITTIER
theft,18,-93.280823,44.959911,WHITTIER
burglary,0,-93.283623,44.962372,WHITTIER
disarmament,2,-93.272537,44.981239,DOWNTOWN WEST
burglary,14,-93.235023,44.981628,MARCY HOLMES
theft,0,-93.25209,44.988129,MARCY HOLMES
theft,18,-93.279457,44.9753,DOWNTOWN WEST
murder,13,-93.29946339,45.01856361,JORDAN
theft,16,-93.249519,44.970619,CEDAR RIVERSIDE
burglary,0,-93.251579,44.945042,POWDERHORN PARK
theft,23,-93.221291,44.954479,SEWARD
burglary,1,-93.270302,45.009769,BOTTINEAU
theft,14,-93.294937,45.012821,JORDAN
burglary,16,-93.255898,44.910198,HALE
murder,1,-93.24110922,44.94588091,POWDERHORN PARK
theft,0,-93.296654,45.030689,WEBBER - CAMDEN
theft,22,-93.280579,44.990311,NORTH LOOP
burglary,8,-93.228058,44.909981,KEEWAYDIN
burglary,4,-93.26722,44.998711,SHERIDAN
burglary,20,-93.298141,44.953468,EAST ISLES
assault,23,-93.247307,44.959141,EAST PHILLIPS
burglary,22,-93.2966,44.956791,EAST ISLES
burglary,18,-93.301147,44.896141,KENNY
burglary,0,-93.257088,44.93824,POWDERHORN PARK
assault,17,-93.302299,44.99366,WILLARD - HAY
theft,1,-93.23452,44.980061,UNIVERSITY OF MINNESOTA
theft,0,-93.28054,44.945881,LYNDALE
theft,16,-93.277878,44.982021,NORTH LOOP
murder,3,-93.26745363,44.9662893,STEVENS SQUARE - LORING HEIGHTS
burglary,5,-93.256653,44.946812,POWDERHORN PARK
theft,7,-93.232643,44.984241,MARCY HOLMES
theft,11,-93.227821,44.938808,HOWE
theft,3,-93.246689,44.984989,MARCY HOLMES
theft,8,-93.260147,44.961189,VENTURA VILLAGE
theft,11,-93.275009,44.974751,DOWNTOWN WEST
theft,2,-93.24205,45.013168,AUDUBON PARK
assault,16,-93.235039,44.94804,LONGFELLOW
theft,19,-93.253052,44.929722,BANCROFT
burglary,17,-93.236023,44.948372,LONGFELLOW
murder,19,-93.28855924,44.99601339,JORDAN
theft,13,-93.318657,44.980728,HARRISON
theft,2,-93.253349,44.953259,MIDTOWN PHILLIPS
theft,11,-93.29393,44.984009,SUMNER - GLENWOOD
theft,19,-93.272568,44.984959,NORTH LOOP
theft,3,-93.289742,44.948071,CARAG
theft,18,-93.30954,45.018661,CLEVELAND
murder,16,-93.30983453,44.97868631,NEAR - NORTH
burglary,0,-93.226143,44.908009,KEEWAYDIN
theft,15,-93.321281,44.949039,CEDAR - ISLES - DEAN
burglary,16,-93.251083,44.96278,VENTURA VILLAGE
theft,11,-93.293503,44.956692,LOWRY HILL EAST
theft,0,-93.24012,44.943611,CORCORAN
theft,14,-93.296989,44.949741,LOWRY HILL EAST
theft,22,-93.26123,44.97839,DOWNTOWN WEST
burglary,16,-93.292908,44.99889,NEAR - NORTH
theft,12,-93.240257,44.960381,SEWARD
theft,17,-93.280098,44.958111,WHITTIER
theft,8,-93.221298,44.946529,LONGFELLOW
theft,21,-93.212662,44.987999,COMO
theft,0,-93.24614,44.969479,CEDAR RIVERSIDE
burglary,22,-93.247803,44.948978,EAST PHILLIPS
assault,20,-93.302559,44.991199,NEAR - NORTH
burglary,7,-93.248848,44.92881,BANCROFT
theft,16,-93.263527,44.953011,PHILLIPS WEST
