Age,Total Work Experience,Number of years in city,Cost to Request Ratio,Cibil score,Overdrafts past12months,Total bounces past12months
40.5,2,6,0.842665858,594,0,0
41.25,5,2,0.791666667,754,0,0
39.5,5,2,0.727272727,779,0,0
35,1,4,0.820232399,818,0,0
34,3,3,0.455580866,853,0,1
33,2,6,0.455580866,777,0,0
34,2,6,1.395041046,837,0,0
36,1,4,0.351180196,738,0,1
37,3,1,0.822199383,714,0,0
58,1,4,0.867678959,788,0,0
57,1,4,1.294117647,826,0,0
40,1,3,0.638167532,836,1,2
38,1,3,0.714285714,763,0,2
24,1,3,0.805008945,789,0,0
62,1,4,1.107878788,764,0,0
40,1,4,0.2,752,0,0
36,2,3,1.242774566,663,0,0
38,1,3,0.825877495,593,1,2
39.92,2,3,0.760994264,731,1,2
30.92,3,3,0.734394125,776,0,1
33,2,4,1,752,2,2
35,3,1,0.616483578,840,0,0
34.33,2,6,0.589371113,693,1,2
58.58,3,5,0.756261655,784,0,2
46.08,1,6,1.393270585,808,1,2
44.5,2,5,0.629268293,857,0,0
47,2,3,1.399725955,840,0,0
23.25,1,4,0.714285714,779,0,0
35.5,3,5,0.898304783,572,0,0
59.58,1,3,1.197540477,817,0,0
48.42,1,4,1,661,0,0
23.25,1,4,0.714285714,779,0,0
38.92,2,6,0.749879186,803,0,0
30.58,2,6,0.836514091,675,0,0
38.5,1,4,0.861705302,737,0,3
46.08,1,3,1.044427873,739,1,3
34.92,1,5,1.198254849,791,0,1
48.5,3,5,0.792857143,712,6,9
24.08,1,5,0.480578617,800,0,0
36.58,1,4,1.199203269,740,0,0
36.58,3,3,0.685226516,741,0,0
42.67,3,5,0.696752063,725,0,0
44.33,1,3,1.603483603,808,0,0
65.58,1,6,0.594012662,605,2,7
33.42,3,3,0.749807711,786,0,0
39.08,3,5,0.829911557,731,2,1
46.42,3,3,0.922588912,791,1,2
31.33,1,5,1.234265204,788,0,10
53.83,1,5,0.864293812,801,0,0
28.75,2,3,1.270232997,709,0,10
65.83,3,6,0.710924059,752,0,0
29.25,1,4,0.875,546,0,0
56.83,2,6,1.058942879,792,0,1
29.83,3,5,0.994929811,769,0,2
42.75,3,3,1.153064351,563,0,0
47.67,1,6,1.106493835,788,1,9
31.75,2,4,0.195216722,825,0,0
43.17,1,6,0.430850628,770,0,1
22.33,3,4,0.653966635,769,0,0
57.17,1,4,1.029037377,848,0,0
30.83,3,6,1.258474912,776,0,0
31.1,1,6,0.871589663,769,3,4
45.17,1,6,0.669556433,713,0,0
55.92,1,5,0.676356692,774,0,1
32.9,3,6,0.787206765,539,0,0
52.83,1,5,0.717627253,766,0,0
48.5,2,5,0.98982678,776,0,0
38.67,1,4,0.849848986,756,1,5
25.92,2,2,0.537592789,737,1,0
56.75,1,6,1.007445019,781,0,0
37.25,3,3,0.375109773,804,0,0
35.2,3,4,0.815479431,498,0,1
31.7,3,5,0.529078134,767,0,0
50.12,1,3,0.540061253,820,1,1
36.1,2,4,1.199015397,684,0,1
38.92,3,3,0.707121896,791,0,1
37.1,1,3,0.76,777,0,0
28.1,1,2,0.901097131,748,2,8
30.2,3,4,0.847070175,779,0,0
54.3,1,3,0.833333333,772,0,0
30.83,3,5,0.709297831,800,3,3
36.92,1,6,0.553856062,831,0,0
36.7,3,4,1.158900744,815,0,0
29,3,5,0.550731353,777,0,0
50.6,1,2,0.999460291,738,0,0
31.1,2,5,0.837497557,741,0,0
44.4,1,4,0.997433875,619,1,1
21.11,1,5,0.838390458,758,0,0
35.8,2,5,0.834059976,521,1,1
26.8,2,4,0.520784017,798,0,0
60.25,1,6,1.092712563,785,0,1
40,3,5,0.749875021,802,0,0
54.17,1,5,0.450461466,837,0,1
49.7,2,3,1,769,0,0
52.67,2,3,0.888847721,727,0,0
32.12,2,5,0.696672345,787,2,6
32.42,1,4,0.616207489,758,0,0
27.1,3,3,0.841460439,779,0,0
40.8,3,5,0.76286961,730,0,0
54.33,1,2,1.272225784,656,0,0
30.5,3,5,0.636189342,614,0,0
33.9,2,3,0.840920732,673,0,0
35.8,3,5,0.833333333,725,0,0
26.7,2,6,0.636091852,787,0,0
64.9,3,5,0.6,767,0,0
39.7,3,3,0.375,806,0,0
45.8,3,5,1.000073339,588,1,1
50.4,1,3,0.99150563,755,1,2
49.17,2,5,1.128995912,761,0,0
30.75,2,3,0.610219773,624,1,6
29.17,2,4,0.650551071,781,0,0
43.5,1,6,0.848610376,800,0,0
26.42,3,3,0.752875632,741,0,0
28.67,3,2,0.72099093,723,0,0
55.83,1,4,1.976805482,852,0,0
56,3,4,1.645711276,686,0,0
36.1,3,5,0.545454545,724,0,0
26.4,3,3,0.714154289,731,0,0
50.33,1,5,0.96035341,769,0,0
47.83,1,5,0.986462447,791,0,0
46.08,1,5,0.85,803,0,0
42.8,2,4,0.734086384,587,0,0
45.12,3,5,0.75,522,0,0
35.12,2,4,1.130742049,609,0,0
30.1,1,5,0.699069565,749,0,0
67.92,1,6,1.170969328,825,0,0
30.12,3,6,1,530,0,0
67.17,5,6,0.030320451,776,0,0
35.5,3,5,0.833333333,726,0,0
49,1,6,0.505474441,793,0,0
35.9,3,4,0.777777778,578,0,0
45.1,1,5,0.866632694,752,0,0
49.83,2,4,1.034692138,817,0,0
30.42,3,2,1.034457789,795,0,0
50.92,1,5,0.526091257,754,0,0
39.83,3,4,1.052960398,783,0,0
33.58,2,4,0.553453749,837,0,0
40.5,1,4,1.199450136,758,0,0
43.5,3,4,0.891891892,546,0,0
35.6,1,4,0.845871693,643,0,0
40.11,3,5,0.749594728,575,0,0
36.83,3,6,0.594582841,707,0,0
40.11,3,5,1.530470272,777,0,0
22.12,2,6,0.847561676,791,0,0
42,2,5,0.897755611,804,0,2
33,1,5,0.788954635,803,0,0
24,3,4,1.2,820,0,0
35,3,3,0.78198567,844,0,1
34,2,5,0.895522388,798,0,0
40,2,3,0.849187935,804,0,1
32,2,3,1.228151585,817,0,1
38,1,4,1.213592233,730,0,1
45,2,3,0.607441154,802,0,0
51.5,2,4,0.685812259,825,0,1
25.83,3,3,0.350877193,800,0,1
25.92,3,5,0.729591837,800,1,1
46.08,3,3,1.099830795,850,0,1
40.75,1,3,0.795986035,802,0,1
36.75,2,4,0.745326708,811,0,0
25,2,4,0.852369587,770,0,0
51.08,3,3,0.676477524,746,1,8
25.42,2,5,0.900483876,741,0,0
30.25,2,5,0.847111399,800,0,0
33.92,3,5,0.633561095,767,0,2
25.33,2,2,1.277614821,763,1,3
37.5,1,4,0.253282542,593,0,0
38.42,2,2,0.750698149,771,1,1
41.75,2,4,0.625611293,801,0,0
29.5,2,4,0.898311175,808,0,1
27.25,2,4,0.65983015,807,1,1
34.33,1,6,0.844896281,791,0,0
47.92,1,4,0.844903227,863,0,1
40.17,2,4,0.698294211,763,0,0
53.25,3,4,0.675735271,635,0,1
35.67,2,4,1.200201515,779,0,0
38.67,2,3,0.117794144,778,0,0
29.75,2,3,0.67677838,523,0,0
34.42,1,6,0.797264899,800,1,2
33.67,2,3,0.800314638,795,0,2
25.17,3,3,0.8734687,808,0,0
29.75,2,5,0.849518443,782,0,0
23.75,2,5,0.373156313,767,0,6
54.75,2,5,0.837560587,744,0,0
49,1,6,0.415766993,770,0,2
49.83,2,3,0.759024805,834,0,0
58.83,2,4,1.027368002,728,0,1
29.67,2,3,0.845303878,800,0,2
44.17,1,6,0.437279835,617,0,0
30.17,3,4,0.744114058,770,0,0
28.33,2,4,0.41504063,758,1,3
38.92,2,3,0.782614926,754,0,0
38.42,1,4,0.912001021,735,0,3
45.92,3,4,0.849704303,760,2,2
33.58,1,5,0.424540922,762,3,12
48.83,1,5,0.84402107,830,0,0
43.08,1,4,0.849677169,781,0,1
37.42,2,3,0.785647345,789,0,1
26.7,1,3,0.662225529,771,0,0
53.42,1,6,0.491513141,822,0,0
28.33,3,4,0.881867266,787,0,0
30.25,3,3,0.653026396,764,0,7
36,2,4,0.841502924,767,0,5
39.12,3,5,0.684929422,773,0,3
35.8,3,4,0.848179647,727,0,0
47.83,3,6,0.849060412,791,0,0
21.33,3,5,0.827403607,769,0,0
51.25,3,3,0.845479607,771,0,1
25.58,3,4,0.68450316,760,1,11
31.17,3,6,0.799713714,811,0,1
45.6,2,6,0.95,804,4,8
28.1,1,4,0.848779349,770,0,1
46.58,3,3,0.847366232,833,0,1
42.9,2,3,0.745919819,805,0,2
27.25,2,6,0.699157917,748,0,1
25.1,3,3,0.787347736,725,0,0
34.25,1,2,0.88710679,770,0,0
52.25,1,5,0.580032946,820,0,1
42.42,2,5,0.58346257,781,0,4
37.08,3,3,0.897468735,720,0,0
34.2,3,6,0.789622109,730,0,0
30.58,2,3,0.87745098,764,11,12
29.4,3,5,0.746619308,811,0,0
30.3,2,5,1.833333333,745,0,0
62.75,2,3,0.769212084,761,0,2
37,1,4,0.798223859,842,4,7
40.92,2,3,0.313339161,793,1,2
44.11,3,5,0.777351824,672,0,0
48.1,1,4,0.866908981,781,1,2
43.17,2,3,0.752527552,760,2,5
57.33,2,5,0.646439902,802,1,1
26.83,1,4,0.666666667,772,1,7
25.92,3,4,0.747560782,768,0,4
27.33,2,6,0.849585649,627,0,0
38.17,3,5,1,808,0,0
30.08,3,3,0.746828525,769,0,0
38.42,2,3,0.844820651,769,0,2
51.67,3,2,0.746209959,800,0,1
32.12,2,5,0.69470236,769,0,1
31.17,1,4,0.418358658,763,1,3
40.17,2,4,0.390213447,725,5,9
27.4,3,5,0.784682988,768,0,1
33.12,3,5,0.893929715,785,0,0
47.12,3,3,1,764,0,0
37.3,3,3,0.844673215,730,0,0
39.4,3,4,0.848211593,566,0,0
21.5,3,3,0.830268051,720,0,0
35.3,3,5,0.899956207,622,0,0
34.67,2,5,1.198773655,834,0,0
48.6,3,5,1,818,0,0
39.9,2,4,0.789658818,774,0,0
36.2,1,3,0.298377222,765,0,0
49.75,3,3,0.742637091,752,1,6
34.92,1,3,0.68191272,756,0,0
45.83,1,6,0.693497307,712,0,0
35.3,2,3,0.765705579,762,0,0
38.25,1,5,0.898080322,806,2,6
35.1,3,3,0.857868369,810,0,0
26.67,3,6,0.821056164,728,0,0
46.75,1,6,0.421273871,754,0,0
53.42,1,6,0.635324015,822,0,0
33.25,2,4,0.781578465,788,0,1
36.08,3,4,0.994869788,750,0,0
46.5,3,6,0.700695305,661,0,0
27.9,2,5,0.798097978,798,0,0
29.08,3,5,0.612469887,802,0,1
26.67,2,5,0.330596919,715,1,2
36.5,3,3,0.998124008,718,3,9
43.92,1,5,0.456685168,578,0,0
36.33,3,3,0.744887067,773,0,0
25.5,1,3,0.707840991,751,0,0
