Period_Sales,Period_DeliveryDelay,Cost_Manufacturing,Cost_Indirect,Cost_Packing,Percent_Margin,Amount_Margin,Amount_Net,Amount_ChannelMargin,Percent_Tax
30,0,66,42,134,53,1342,5273,1601,5
51,16,86,41,184,44,617,4511,1957,19
56,7,60,18,143,19,1121,5301,2146,6
24,11,24,30,103,45,782,3863,1320,23
49,17,65,42,118,45,929,5155,1600,1
6,0,25,15,163,44,1397,3785,1908,10
29,19,17,38,117,54,979,4243,1228,18
10,2,85,12,177,48,1112,3078,2145,18
41,11,37,23,183,41,1384,5451,1245,17
56,22,27,12,157,46,1295,5701,1520,23
18,8,13,12,176,36,1354,4575,1442,16
46,9,32,9,152,22,1370,4463,2435,4
48,13,56,22,184,31,672,3901,1551,13
34,5,33,33,181,42,1002,5947,1313,22
42,1,79,14,142,50,704,4358,2000,13
3,0,91,6,124,29,964,4533,1015,1
55,20,16,30,153,40,1375,4741,1797,17
41,9,17,44,142,53,1099,5133,2346,17
53,23,46,31,183,51,776,4421,1713,22
13,6,72,35,178,24,1318,5264,1556,12
23,17,37,3,102,51,1039,3862,2088,5
26,5,79,0,188,58,889,5180,1974,8
58,5,78,48,150,24,792,3420,1526,11
42,5,23,36,181,28,665,5125,1684,15
14,7,87,9,191,36,512,4340,2330,5
16,1,69,35,196,10,1197,4959,1242,4
51,1,51,38,143,56,1431,4011,1875,17
26,8,33,13,198,51,1184,3775,1257,1
46,12,26,17,199,24,968,5281,2008,17
44,4,35,17,189,26,1227,3214,1946,2
16,15,23,28,110,58,925,3487,1668,2
1,20,32,20,118,21,737,3320,2038,14
38,10,14,28,174,30,518,3697,1018,20
43,1,88,4,191,59,851,5497,1781,8
29,1,96,16,123,39,795,5934,1597,20
58,6,86,29,126,36,674,4766,1356,5
19,22,21,43,140,33,586,4846,2191,3
27,5,32,25,154,42,934,5674,2364,4
22,8,70,33,164,16,1042,3752,1339,10
4,0,11,2,161,16,1450,5064,2254,8
36,17,55,30,100,34,1482,4262,1506,1
30,11,88,33,122,56,552,3234,1798,18
20,1,31,22,117,14,821,3110,1600,7
32,2,18,34,134,35,1040,3880,1441,14
