country,year,sex,age,population,suicides_no
Albania,1985,female,15-24 years,277900,0
Albania,1985,female,25-34 years,246800,0
Albania,1985,female,35-54 years,267500,0
Albania,1985,female,5-14 years,298300,0
Albania,1985,female,55-74 years,138700,0
Albania,1985,female,75+ years,34200,0
Albania,1985,male,15-24 years,301400,0
Albania,1985,male,25-34 years,264200,0
Albania,1985,male,35-54 years,296700,0
Albania,1985,male,5-14 years,325800,0
Albania,1985,male,55-74 years,132500,0
Albania,1985,male,75+ years,21100,0
Albania,1986,female,15-24 years,283900,0
Albania,1986,female,25-34 years,252100,0
Albania,1986,female,35-54 years,273200,0
Albania,1986,female,5-14 years,304700,0
Albania,1986,female,55-74 years,141700,0
Albania,1986,female,75+ years,34900,0
Albania,1986,male,15-24 years,306700,0
Albania,1986,male,25-34 years,269000,0
Albania,1986,male,35-54 years,302000,0
Albania,1986,male,5-14 years,331600,0
Albania,1986,male,55-74 years,134800,0
Albania,1986,male,75+ years,21400,0
Albania,1987,female,15-24 years,289700,14
Albania,1987,female,25-34 years,257200,4
Albania,1987,female,35-54 years,278800,6
Albania,1987,female,5-14 years,311000,0
Albania,1987,female,55-74 years,144600,0
Albania,1987,female,75+ years,35600,1
Albania,1987,male,15-24 years,312900,21
Albania,1987,male,25-34 years,274300,9
Albania,1987,male,35-54 years,308000,16
Albania,1987,male,5-14 years,338200,0
Albania,1987,male,55-74 years,137500,1
Albania,1987,male,75+ years,21800,1
Albania,1988,female,15-24 years,295600,8
Albania,1988,female,25-34 years,262400,5
Albania,1988,female,35-54 years,284500,4
Albania,1988,female,5-14 years,317200,0
Albania,1988,female,55-74 years,147500,3
Albania,1988,female,75+ years,36400,2
Albania,1988,male,15-24 years,319200,17
Albania,1988,male,25-34 years,279900,5
Albania,1988,male,35-54 years,314100,14
Albania,1988,male,5-14 years,345000,0
Albania,1988,male,55-74 years,140200,4
Albania,1988,male,75+ years,22300,1
Albania,1989,female,15-24 years,299900,5
Albania,1989,female,25-34 years,266300,2
Albania,1989,female,35-54 years,288600,7
Albania,1989,female,5-14 years,321900,0
Albania,1989,female,55-74 years,149600,1
Albania,1989,female,75+ years,37000,0
Albania,1989,male,15-24 years,323500,12
Albania,1989,male,25-34 years,283600,18
Albania,1989,male,35-54 years,318400,15
Albania,1989,male,5-14 years,349700,0
Albania,1989,male,55-74 years,142100,6
Albania,1989,male,75+ years,22500,2
Albania,1990,female,15-24 years,305900,0
Albania,1990,female,25-34 years,278000,0
Albania,1990,female,35-54 years,308300,0
Albania,1990,female,5-14 years,329600,0
Albania,1990,female,55-74 years,156400,0
Albania,1990,female,75+ years,37600,0
Albania,1990,male,15-24 years,325600,0
Albania,1990,male,25-34 years,295100,0
Albania,1990,male,35-54 years,337700,0
Albania,1990,male,5-14 years,355600,0
Albania,1990,male,55-74 years,149700,0
Albania,1990,male,75+ years,23200,0
Albania,1991,female,15-24 years,301100,0
Albania,1991,female,25-34 years,274700,0
Albania,1991,female,35-54 years,316500,0
Albania,1991,female,5-14 years,333300,0
